title,price,image,link
HP ProBook 465 G11 - A40XMPT 최종52만 R5-7535U/8G/512G/FD/16형 WUXGA/16:10/AI 솔루션/비즈니스노트북,"821,850",http://image.gmarket.co.kr/hanbando/202408/a4e449b9-22a7-4df9-aaa4-148d912fcc83.png?date=20240903,http://item.gmarket.co.kr/Item?goodscode=3908468821
LG전자 LG그램 15ZD90S-GX56K 최종가 119만 14세대 Ultra5 16GB 256GB 24년형 가성비 노트북,"1,494,890",http://image.gmarket.co.kr/hanbando/202408/a4e449b9-22a7-4df9-aaa4-148d912fcc83.png?date=20240903,http://item.gmarket.co.kr/Item?goodscode=3411772581
LG전자 LG그램 최종140만 15ZD90S-GX76K 14세대 Ultra7 16GB 256GB 가성비 가벼운 24년형 노트북,"1,948,270",http://image.gmarket.co.kr/hanbando/202408/a4e449b9-22a7-4df9-aaa4-148d912fcc83.png?date=20240903,http://item.gmarket.co.kr/Item?goodscode=3411777635
NT371B5L 램16G SSD512G+HDD500G 윈도우10 듀얼하드,"279,000",http://image.gmarket.co.kr/hanbando/202408/a4e449b9-22a7-4df9-aaa4-148d912fcc83.png?date=20240903,http://item.gmarket.co.kr/Item?goodscode=3798899611
LG 울트라PC 엣지 16UD70R-GX56K 최종 69만 AMD 라이젠 가성비 사무용 업무용 노트북,"929,920",http://image.gmarket.co.kr/hanbando/202408/a4e449b9-22a7-4df9-aaa4-148d912fcc83.png?date=20240903,http://item.gmarket.co.kr/Item?goodscode=3405981500
레노버 V15 4세대 인텔 13세대 i5 13420H 8GB 128GB DOS 혜택가 43만+SSD 무상업그레이드 노트북 PC,"591,880",http://image.gmarket.co.kr/hanbando/202408/a4e449b9-22a7-4df9-aaa4-148d912fcc83.png?date=20240903,http://item.gmarket.co.kr/Item?goodscode=3947230834&buyboxtype=ad
그램프로 (158만)16Z90SP-GA5CK Ultra5 16GB 256GB 윈도우11 노트북,"1,960,000",http://image.gmarket.co.kr/hanbando/202408/a4e449b9-22a7-4df9-aaa4-148d912fcc83.png?date=20240903,http://item.gmarket.co.kr/Item?goodscode=3411758972&buyboxtype=ad
노트북 15-fd1027TU P1 Win11PRO 16GB램 512GB 인텔i7-14세대 PD고속충전 한컴오피스증정 고성능,"1,198,000",http://image.gmarket.co.kr/hanbando/202408/a4e449b9-22a7-4df9-aaa4-148d912fcc83.png?date=20240903,http://item.gmarket.co.kr/Item?goodscode=3516977996&buyboxtype=ad
LG 그램 (125만)14Z90S-GA56K Ultra5 16GB 512GB 윈도우11 노트북,"1,579,000",http://image.gmarket.co.kr/hanbando/202408/a4e449b9-22a7-4df9-aaa4-148d912fcc83.png?date=20240903,http://item.gmarket.co.kr/Item?goodscode=3466808666&buyboxtype=ad
LG그램 (165만)프로 17Z90SP-GA5CK Ultra5 16GB 256GB 윈도우11 노트북,"2,040,000",http://image.gmarket.co.kr/hanbando/202408/a4e449b9-22a7-4df9-aaa4-148d912fcc83.png?date=20240903,http://item.gmarket.co.kr/Item?goodscode=3463533893&buyboxtype=ad
