N,종목명,현재가,전일비,등락률,거래량,거래대금,매수호가,매도호가,시가총액,PER,ROE
1,KODEX 200선물인버스2X,"2,290",170,-6.91%,"301,693,651","681,879","2,320","2,325","15,799",N/A,N/A
2,KODEX 코스닥150선물인버스,"3,880",280,-6.73%,"52,080,598","203,199","3,895","3,900","3,422",N/A,N/A
3,KODEX 인버스,"4,455",165,-3.57%,"39,297,172","174,551","4,485","4,495","6,754",N/A,N/A
4,KODEX 레버리지,"16,415",685,4.35%,"36,912,612","613,116","16,200","16,205","16,275",N/A,N/A
5,KODEX 코스닥150레버리지,"8,365",665,8.64%,"35,710,970","297,755","8,300","8,310","10,933",N/A,N/A
6,삼성전자,"72,900","1,500",2.10%,"29,924,015","2,216,016","72,400","72,500","4,351,971",25.15,4.15
7,흥아해운,"2,855",160,5.94%,"28,979,108","81,509","2,805","2,810","6,864",21.96,23.02
8,휴니드,"10,800","1,580",17.14%,"19,099,268","197,181","10,910","10,920","1,525",7.56,11.69
9,삼성 인버스 2X WTI원유 선물 ETN,99,4,-3.88%,"17,679,807","1,758",99,100,"1,482",N/A,N/A
10,삼성중공업,"10,930",880,8.76%,"12,836,594","138,628","10,820","10,840","96,184",-64.29,-4.22
11,TIGER 200선물인버스2X,"2,420",185,-7.10%,"11,029,920","26,545","2,460","2,470",939,N/A,N/A
12,KODEX 200,"34,390","1,130",3.40%,"8,988,248","310,597","34,120","34,125","56,468",N/A,N/A
13,한국ANKOR유전,460,8,1.77%,"8,512,831","3,865",459,460,322,N/A,N/A
14,대한해운,"2,010",159,8.59%,"8,195,677","15,981","1,953","1,957","6,415",5.74,4.36
15,KODEX 코스닥150,"12,275",700,6.05%,"7,752,176","94,854","12,240","12,250","7,561",N/A,N/A
16,삼성 인버스 2X 코스닥150 선물 ETN,"7,185","1,235",-14.67%,"7,741,565","55,827","7,260","7,270","2,874",N/A,N/A
17,SK하이닉스,"165,100","9,000",5.77%,"6,899,361","1,134,488","163,200","163,300","1,201,932",-26.06,-15.61
18,대원전선,"3,040",260,9.35%,"6,437,068","19,420","3,000","3,005","2,279",21.71,10.02
19,국제약품,"6,260","1,010",19.24%,"5,777,521","35,703","6,290","6,300","1,325",-20.39,-10.58
20,두산에너빌리티,"16,920","1,060",6.68%,"5,483,571","91,960","16,810","16,820","108,383",83.35,0.78
21,삼부토건,"1,262",3,0.24%,"5,365,403","6,878","1,259","1,264","2,822",-1.93,-73.88
22,TIGER 미국S&P500,"17,945",275,1.56%,"4,843,140","86,721","17,940","17,945","40,897",N/A,N/A
23,KODEX 2차전지산업레버리지,"2,185",155,7.64%,"4,816,314","10,586","2,160","2,165","1,980",N/A,N/A
24,대성에너지,"11,610",70,0.61%,"4,469,083","51,817","11,580","11,610","3,193",16.9,4.72
25,RISE 200,"34,655","1,145",3.42%,"3,840,458","133,256","34,370","34,385","10,604",N/A,N/A
26,현대약품,"5,460",390,7.69%,"3,606,744","19,705","5,440","5,450","1,747",64.24,7.15
27,ACE 미국30년국채액티브(H),"8,885",110,-1.22%,"3,602,169","32,021","8,880","8,885","15,389",N/A,N/A
28,한양증권,"18,560","2,400",14.85%,"3,580,297","65,173","18,230","18,240","2,362",6.54,7.4
29,SOL 조선TOP3플러스,"12,760",970,8.23%,"3,493,771","43,892","12,650","12,660","2,488",N/A,N/A
30,RISE 미국30년국채엔화노출(합성 H),"9,825",325,-3.20%,"3,184,704","31,165","9,840","9,850","3,571",N/A,N/A
31,TIGER 미국필라델피아반도체나스닥,"16,770","1,795",11.99%,"3,041,626","50,941","16,785","16,790","24,836",N/A,N/A
32,TIGER 2차전지TOP10,"10,165",500,5.17%,"3,015,323","30,673","10,075","10,080","3,365",N/A,N/A
