번호,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
1,삼성전자,"72,500","1,100",+1.54%,100,"4,328,092","5,969,783",56.14,"46,901,050",25.01,4.15,
2,SK하이닉스,"163,700","7,600",+4.87%,"5,000","1,191,740","728,002",54.36,"10,429,988",-25.84,-15.61,
3,LG에너지솔루션,"337,000","15,000",+4.66%,500,"788,580","234,000",4.72,"369,577",107.12,6.36,
4,삼성바이오로직스,"928,000","38,000",+4.27%,"2,500","660,495","71,174",12.70,"190,855",73.77,9.12,
5,현대차,"235,000","11,000",+4.91%,"5,000","492,128","209,416",40.62,"1,244,725",5.42,13.68,
6,삼성전자우,"58,000","1,900",+3.39%,100,"477,274","822,887",75.99,"2,144,205",20.01,N/A,
7,기아,"102,700","6,400",+6.65%,"5,000","410,655","399,858",41.54,"1,850,762",4.37,20.44,
8,셀트리온,"182,000",500,-0.27%,"1,000","394,928","216,993",23.09,"1,660,806",76.47,5.07,
9,KB금융,"79,500","2,700",+3.52%,"5,000","320,791","403,511",76.25,"2,156,086",7.67,8.44,
10,POSCO홀딩스,"330,500","16,000",+5.09%,"5,000","279,508","84,571",28.06,"628,474",18.48,3.18,
11,신한지주,"53,200",400,+0.76%,"5,000","270,997","509,393",60.61,"2,293,773",6.39,8.36,
12,NAVER,"158,400","2,300",+1.47%,100,"257,255","162,409",43.64,"1,108,045",17.63,4.41,
13,삼성물산,"136,500","1,200",+0.89%,100,"242,675","177,784",26.87,"495,430",11.27,7.28,
14,삼성SDI,"318,500","14,500",+4.77%,"5,000","219,015","68,765",38.69,"403,606",12.16,11.48,
15,LG화학,"289,500","17,000",+6.24%,"5,000","204,365","70,592",36.05,"519,896",22.65,4.20,
16,현대모비스,"213,000","9,000",+4.41%,"5,000","198,080","92,995",40.30,"228,346",5.82,8.73,
17,HD현대중공업,"205,000","19,000",+10.22%,"5,000","181,985","88,773",10.03,"562,549",246.39,0.47,
18,삼성생명,"84,800",800,+0.95%,500,"169,600","200,000",20.77,"361,800",9.37,4.95,
19,하나금융지주,"57,800","1,100",+1.94%,"5,000","168,982","292,357",69.61,"1,429,200",5.06,9.01,
20,카카오,"38,000","1,700",+4.68%,100,"168,508","443,443",26.73,"1,734,160",-16.62,-10.26,
