N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
1,삼성전자,"72,700","1,300",+1.82%,100,"4,340,032","5,969,783",56.14,"30,591,548",25.08,4.15,
2,SK하이닉스,"164,200","8,100",+5.19%,"5,000","1,195,380","728,002",54.36,"7,106,675",-25.92,-15.61,
3,LG에너지솔루션,"334,500","12,500",+3.88%,500,"782,730","234,000",4.72,"204,599",106.33,6.36,
4,삼성바이오로직스,"921,000","31,000",+3.48%,"2,500","655,513","71,174",12.70,"122,336",73.22,9.12,
5,현대차,"233,500","9,500",+4.24%,"5,000","488,987","209,416",40.62,"839,483",5.39,13.68,
6,삼성전자우,"58,300","2,200",+3.92%,100,"479,743","822,887",75.99,"1,347,790",20.11,N/A,
7,기아,"102,100","5,800",+6.02%,"5,000","408,255","399,858",41.54,"1,220,854",4.34,20.44,
8,셀트리온,"183,200",700,+0.38%,"1,000","397,532","216,993",23.09,"992,975",76.97,5.07,
9,KB금융,"80,500","3,700",+4.82%,"5,000","324,826","403,511",76.25,"1,413,638",7.77,8.44,
10,POSCO홀딩스,"331,000","16,500",+5.25%,"5,000","279,931","84,571",28.06,"415,193",18.51,3.18,
11,신한지주,"54,100","1,300",+2.46%,"5,000","275,582","509,393",60.61,"1,404,203",6.50,8.36,
12,NAVER,"159,300","3,200",+2.05%,100,"258,717","162,409",43.64,"631,563",17.73,4.41,
13,삼성물산,"135,000",300,-0.22%,100,"240,009","177,784",26.87,"250,007",11.14,7.28,
14,삼성SDI,"315,500","11,500",+3.78%,"5,000","216,952","68,765",38.69,"271,492",12.05,11.48,
15,LG화학,"287,000","14,500",+5.32%,"5,000","202,600","70,592",36.05,"284,434",22.46,4.20,
16,현대모비스,"213,000","9,000",+4.41%,"5,000","198,080","92,995",40.30,"138,504",5.82,8.73,
17,HD현대중공업,"208,000","22,000",+11.83%,"5,000","184,648","88,773",10.03,"415,201",250.00,0.47,
18,삼성생명,"85,900","1,900",+2.26%,500,"171,800","200,000",20.77,"216,384",9.49,4.95,
19,하나금융지주,"58,300","1,600",+2.82%,"5,000","170,444","292,357",69.61,"814,244",5.11,9.01,
20,카카오,"38,350","2,050",+5.65%,100,"170,061","443,443",26.73,"1,156,695",-16.78,-10.26,
21,포스코퓨처엠,"213,000","10,000",+4.93%,500,"164,997","77,463",9.41,"355,149",331.78,1.19,
22,삼성화재,"337,000","9,000",+2.74%,500,"159,653","47,375",54.19,"55,528",8.94,12.73,
23,LG전자,"90,200",500,+0.56%,"5,000","147,610","163,648",32.45,"901,070",22.77,3.69,
24,메리츠금융지주,"76,100","1,600",+2.15%,500,"145,138","190,720",16.72,"337,897",7.47,28.11,
